date,temperature,humidity,luminosity
2022-11-17 14:46:32.845,13.1,0.0,1618
2022-11-17 14:46:27.801,13.2,0.0,1619
2022-11-17 14:46:22.758,13.1,0.0,1620
2022-11-17 14:46:17.714,13.1,0.0,1416
2022-11-17 14:46:12.670,13.2,0.0,1618
2022-11-17 14:46:07.626,13.1,0.0,1627
2022-11-17 14:46:02.583,13.3,0.0,1626
2022-11-17 14:45:57.539,13.2,0.0,1629
2022-11-17 14:45:52.496,13.2,0.0,1631
2022-11-17 14:45:47.452,13.2,0.0,1625
2022-11-17 14:45:42.408,13.3,0.0,1631
2022-11-17 14:45:37.364,13.3,0.0,1631
2022-11-17 14:45:32.320,13.3,0.0,1628
2022-11-17 14:45:27.276,13.4,0.0,1632
2022-11-17 14:45:22.232,13.3,0.0,1631
2022-11-17 14:45:17.188,13.4,0.0,1628
2022-11-17 14:45:12.144,13.3,0.0,1627
2022-11-17 14:45:07.100,13.2,0.0,1632
2022-11-17 14:45:02.057,13.3,0.0,1632
2022-11-17 14:44:57.013,13.2,0.0,1630
2022-11-17 14:44:51.969,13.4,0.0,1630
2022-11-17 14:44:46.925,13.3,0.0,1627
2022-11-17 14:44:41.881,13.3,0.0,1627
2022-11-17 14:44:36.837,13.4,0.0,1631
2022-11-17 14:44:31.792,13.4,0.0,1630
2022-11-17 14:44:26.748,13.5,0.0,1631
2022-11-17 14:44:21.705,13.5,0.0,1631
2022-11-17 14:44:16.661,13.6,0.0,1637
2022-11-17 14:44:11.617,13.7,0.0,1634
2022-11-17 14:44:06.573,13.7,0.0,1645
2022-11-17 14:44:01.529,13.6,0.0,1640
2022-11-17 14:43:56.485,13.6,0.0,1644
2022-11-17 14:43:51.441,13.6,0.0,1643
2022-11-17 14:43:46.397,13.5,0.0,1643
2022-11-17 14:43:41.353,13.6,0.0,1644
2022-11-17 14:43:36.309,13.6,0.0,1644
2022-11-17 14:43:31.265,13.5,0.0,1644
2022-11-17 14:43:26.222,13.5,0.0,1645
2022-11-17 14:43:21.178,13.5,0.0,1646
2022-11-17 14:43:16.135,13.6,0.0,1648
2022-11-17 14:43:11.092,13.7,0.0,1649
2022-11-17 14:43:06.048,13.6,0.0,88
2022-11-17 14:43:01.004,13.7,0.0,1648
2022-11-17 14:42:55.962,13.6,0.0,1645
2022-11-17 14:42:50.917,13.7,0.0,1642
2022-11-17 14:42:45.875,13.5,0.0,1752
2022-11-17 14:42:40.832,13.5,0.0,120
2022-11-17 14:42:35.789,13.5,0.0,1597
2022-11-17 14:42:30.744,13.6,0.0,1625
2022-11-17 14:42:25.700,13.6,0.0,1625
2022-11-17 14:42:20.657,13.7,0.0,1623
2022-11-17 14:42:15.613,13.6,0.0,1621
2022-11-17 14:42:10.570,13.7,0.0,1625
2022-11-17 14:42:05.526,13.7,0.0,1623
2022-11-17 14:42:00.482,13.7,0.0,1622
2022-11-17 14:41:55.437,13.7,0.0,1626
2022-11-17 14:41:50.394,13.6,0.0,1626
2022-11-17 14:41:45.350,13.6,0.0,1626
2022-11-17 14:41:40.308,13.7,0.0,1624
2022-11-17 14:41:35.264,13.7,0.0,1623
